"Resgenes","groupeinc","n"
"blaTEM-1B","IncF",174
"blaCTX-M-15","IncF",100
"blaTEM-1B","IncY",85
"blaCTX-M-15","IncY",84
"blaOXA-1","IncF",42
"blaCTX-M-55","IncF",25
"blaTEM-1B","other-rep",24
"blaCTX-M-15","IncI",20
"blaCTX-M-1","IncI",11
"blaCTX-M-14","IncF",8
"blaCTX-M-15","other-rep",6
"blaCTX-M-27","IncF",6
"blaCTX-M-27","other-rep",6
"blaTEM-1B","IncI",6
"blaTEM-1B","IncQ",6
"blaTEM-35","IncF",4
"blaCTX-M-15","IncH",3
"blaTEM-104","IncI",3
"blaTEM-198","IncI",3
"blaTEM-1B","IncH",3
"blaCTX-M-1","IncF",2
"blaCTX-M-14","IncI",2
"blaCTX-M-27","IncP",2
"blaSHV-12","IncI",2
"blaSHV-12","IncQ",2
"blaTEM-207","IncI",2
"blaTEM-217","IncI",2
"blaTEM-230","IncI",2
"blaTEM-234","IncI",2
"blaTEM-30","IncI",2
"blaCTX-M-14","IncQ",1
"blaCTX-M-14","IncY",1
"blaCTX-M-14","other-rep",1
"blaCTX-M-15","IncX",1
"blaCTX-M-164","IncF",1
"blaCTX-M-27","IncH",1
"blaCTX-M-27","IncI",1
"blaIMP-4","IncL/M",1
"blaOXA-1","other-rep",1
"blaTEM-106","other-rep",1
"blaTEM-126","other-rep",1
"blaTEM-135","other-rep",1
"blaTEM-1B","IncL/M",1
"blaTEM-1B","IncN",1
"blaTEM-1B","IncX",1
"blaTEM-1C","IncI",1
"blaTEM-1C","IncY",1
"blaTEM-1C","other-rep",1
"blaTEM-20","other-rep",1
"blaTEM-208","IncY",1
"blaTEM-220","other-rep",1
"blaTEM-32","other-rep",1
